ID,Target
10413.0,0
10432.0,0
10448.0,1
10469.0,0
10477.0,0
10478.0,1
10500.0,0
10509.0,0
10513.0,0
10521.0,0
10556.0,1
10560.0,0
10595.0,0
10598.0,0
10609.0,0
10640.0,0
10643.0,0
10652.0,0
10659.0,0
10676.0,1
10678.0,1
10680.0,0
10686.0,0
10691.0,0
10701.0,1
10702.0,0
10711.0,0
10722.0,1
10742.0,0
10757.0,0
10779.0,0
10785.0,0
10789.0,0
10790.0,0
10814.0,1
10821.0,0
10841.0,0
10858.0,1
10868.0,0
10870.0,1
10872.0,1
10897.0,1
10905.0,1
10906.0,0
10913.0,0
10949.0,1
10951.0,1
10968.0,1
11031.0,0
11091.0,0
11092.0,0
11133.0,1
11148.0,0
11181.0,0
11187.0,0
